raceId,driverId,positionOrder,qualifying_position,podium_finish,year,name,forename,surname,driver_name,points,championship_position
1034,844,3,4,1,2020,British Grand Prix,Charles,Leclerc,Charles Leclerc,33.0,5
1034,817,4,8,0,2020,British Grand Prix,Daniel,Ricciardo,Daniel Ricciardo,20.0,9
1034,846,5,5,0,2020,British Grand Prix,Lando,Norris,Lando Norris,36.0,4
1034,839,6,9,0,2020,British Grand Prix,Esteban,Ocon,Esteban Ocon,12.0,11
1034,842,7,11,0,2020,British Grand Prix,Pierre,Gasly,Pierre Gasly,12.0,12
1034,848,8,12,0,2020,British Grand Prix,Alexander,Albon,Alexander Albon,26.0,6
1034,840,9,6,0,2020,British Grand Prix,Lance,Stroll,Lance Stroll,20.0,8
1034,20,10,10,0,2020,British Grand Prix,Sebastian,Vettel,Sebastian Vettel,10.0,13
1034,822,11,2,0,2020,British Grand Prix,Valtteri,Bottas,Valtteri Bottas,58.0,2
1034,847,12,15,0,2020,British Grand Prix,George,Russell,George Russell,0.0,19
1034,832,13,7,0,2020,British Grand Prix,Carlos,Sainz,Carlos Sainz,15.0,10
1034,841,14,17,0,2020,British Grand Prix,Antonio,Giovinazzi,Antonio Giovinazzi,2.0,14
1034,849,15,20,0,2020,British Grand Prix,Nicholas,Latifi,Nicholas Latifi,0.0,17
1034,154,16,19,0,2020,British Grand Prix,Romain,Grosjean,Romain Grosjean,0.0,20
1034,8,17,18,0,2020,British Grand Prix,Kimi,Räikkönen,Kimi Räikkönen,0.0,18
1034,826,18,14,0,2020,British Grand Prix,Daniil,Kvyat,Daniil Kvyat,1.0,15
1034,825,19,16,0,2020,British Grand Prix,Kevin,Magnussen,Kevin Magnussen,1.0,16
1034,807,20,13,0,2020,British Grand Prix,Nico,Hülkenberg,Nico Hülkenberg,0.0,21
1035,830,1,4,1,2020,70th Anniversary Grand Prix,Max,Verstappen,Max Verstappen,77.0,2
1035,1,2,2,1,2020,70th Anniversary Grand Prix,Lewis,Hamilton,Lewis Hamilton,107.0,1
1035,822,3,1,1,2020,70th Anniversary Grand Prix,Valtteri,Bottas,Valtteri Bottas,73.0,3
1035,844,4,8,0,2020,70th Anniversary Grand Prix,Charles,Leclerc,Charles Leclerc,45.0,4
1035,848,5,9,0,2020,70th Anniversary Grand Prix,Alexander,Albon,Alexander Albon,36.0,6
1035,840,6,6,0,2020,70th Anniversary Grand Prix,Lance,Stroll,Lance Stroll,28.0,7
1035,807,7,3,0,2020,70th Anniversary Grand Prix,Nico,Hülkenberg,Nico Hülkenberg,6.0,14
1035,839,8,11,0,2020,70th Anniversary Grand Prix,Esteban,Ocon,Esteban Ocon,16.0,10
1035,846,9,10,0,2020,70th Anniversary Grand Prix,Lando,Norris,Lando Norris,38.0,5
1035,826,10,16,0,2020,70th Anniversary Grand Prix,Daniil,Kvyat,Daniil Kvyat,2.0,16
1035,842,11,7,0,2020,70th Anniversary Grand Prix,Pierre,Gasly,Pierre Gasly,12.0,12
1035,20,12,12,0,2020,70th Anniversary Grand Prix,Sebastian,Vettel,Sebastian Vettel,10.0,13
1035,832,13,13,0,2020,70th Anniversary Grand Prix,Carlos,Sainz,Carlos Sainz,15.0,11
1035,817,14,5,0,2020,70th Anniversary Grand Prix,Daniel,Ricciardo,Daniel Ricciardo,20.0,9
1035,8,15,20,0,2020,70th Anniversary Grand Prix,Kimi,Räikkönen,Kimi Räikkönen,0.0,18
1035,154,16,14,0,2020,70th Anniversary Grand Prix,Romain,Grosjean,Romain Grosjean,0.0,21
1035,841,17,19,0,2020,70th Anniversary Grand Prix,Antonio,Giovinazzi,Antonio Giovinazzi,2.0,15
1035,847,18,15,0,2020,70th Anniversary Grand Prix,George,Russell,George Russell,0.0,20
1035,849,19,18,0,2020,70th Anniversary Grand Prix,Nicholas,Latifi,Nicholas Latifi,0.0,19
1035,825,20,17,0,2020,70th Anniversary Grand Prix,Kevin,Magnussen,Kevin Magnussen,1.0,17
1036,1,1,1,1,2020,Spanish Grand Prix,Lewis,Hamilton,Lewis Hamilton,132.0,1
1036,830,2,3,1,2020,Spanish Grand Prix,Max,Verstappen,Max Verstappen,95.0,2
1036,822,3,2,1,2020,Spanish Grand Prix,Valtteri,Bottas,Valtteri Bottas,89.0,3
1036,840,4,5,0,2020,Spanish Grand Prix,Lance,Stroll,Lance Stroll,40.0,5
1036,815,5,4,0,2020,Spanish Grand Prix,Sergio,Pérez,Sergio Pérez,32.0,8
1036,832,6,7,0,2020,Spanish Grand Prix,Carlos,Sainz,Carlos Sainz,23.0,9
1036,20,7,11,0,2020,Spanish Grand Prix,Sebastian,Vettel,Sebastian Vettel,16.0,11
1036,848,8,6,0,2020,Spanish Grand Prix,Alexander,Albon,Alexander Albon,40.0,6
1036,842,9,10,0,2020,Spanish Grand Prix,Pierre,Gasly,Pierre Gasly,14.0,13
1036,846,10,8,0,2020,Spanish Grand Prix,Lando,Norris,Lando Norris,39.0,7
1036,817,11,13,0,2020,Spanish Grand Prix,Daniel,Ricciardo,Daniel Ricciardo,20.0,10
1036,826,12,12,0,2020,Spanish Grand Prix,Daniil,Kvyat,Daniil Kvyat,2.0,16
1036,839,13,15,0,2020,Spanish Grand Prix,Esteban,Ocon,Esteban Ocon,16.0,12
1036,8,14,14,0,2020,Spanish Grand Prix,Kimi,Räikkönen,Kimi Räikkönen,0.0,18
1036,825,15,16,0,2020,Spanish Grand Prix,Kevin,Magnussen,Kevin Magnussen,1.0,17
1036,841,16,20,0,2020,Spanish Grand Prix,Antonio,Giovinazzi,Antonio Giovinazzi,2.0,15
1036,847,17,18,0,2020,Spanish Grand Prix,George,Russell,George Russell,0.0,20
1036,849,18,19,0,2020,Spanish Grand Prix,Nicholas,Latifi,Nicholas Latifi,0.0,19
1036,154,19,17,0,2020,Spanish Grand Prix,Romain,Grosjean,Romain Grosjean,0.0,21
1036,844,20,9,0,2020,Spanish Grand Prix,Charles,Leclerc,Charles Leclerc,45.0,4
1037,1,1,1,1,2020,Belgian Grand Prix,Lewis,Hamilton,Lewis Hamilton,157.0,1
1037,822,2,2,1,2020,Belgian Grand Prix,Valtteri,Bottas,Valtteri Bottas,107.0,3
1037,830,3,3,1,2020,Belgian Grand Prix,Max,Verstappen,Max Verstappen,110.0,2
1037,817,4,4,0,2020,Belgian Grand Prix,Daniel,Ricciardo,Daniel Ricciardo,33.0,8
1037,839,5,6,0,2020,Belgian Grand Prix,Esteban,Ocon,Esteban Ocon,26.0,10
1037,848,6,5,0,2020,Belgian Grand Prix,Alexander,Albon,Alexander Albon,48.0,4
1037,846,7,10,0,2020,Belgian Grand Prix,Lando,Norris,Lando Norris,45.0,6
1037,842,8,12,0,2020,Belgian Grand Prix,Pierre,Gasly,Pierre Gasly,18.0,12
1037,840,9,9,0,2020,Belgian Grand Prix,Lance,Stroll,Lance Stroll,42.0,7
1037,815,10,8,0,2020,Belgian Grand Prix,Sergio,Pérez,Sergio Pérez,33.0,9
1037,826,11,11,0,2020,Belgian Grand Prix,Daniil,Kvyat,Daniil Kvyat,2.0,16
1037,8,12,16,0,2020,Belgian Grand Prix,Kimi,Räikkönen,Kimi Räikkönen,0.0,18
1037,20,13,14,0,2020,Belgian Grand Prix,Sebastian,Vettel,Sebastian Vettel,16.0,13
1037,844,14,13,0,2020,Belgian Grand Prix,Charles,Leclerc,Charles Leclerc,45.0,5
1037,154,15,17,0,2020,Belgian Grand Prix,Romain,Grosjean,Romain Grosjean,0.0,21
1037,849,16,19,0,2020,Belgian Grand Prix,Nicholas,Latifi,Nicholas Latifi,0.0,19
1037,825,17,20,0,2020,Belgian Grand Prix,Kevin,Magnussen,Kevin Magnussen,1.0,17
1037,841,18,18,0,2020,Belgian Grand Prix,Antonio,Giovinazzi,Antonio Giovinazzi,2.0,15
1037,847,19,15,0,2020,Belgian Grand Prix,George,Russell,George Russell,0.0,20
1037,832,20,7,0,2020,Belgian Grand Prix,Carlos,Sainz,Carlos Sainz,23.0,11
1038,842,1,10,1,2020,Italian Grand Prix,Pierre,Gasly,Pierre Gasly,43.0,8
1038,832,2,3,1,2020,Italian Grand Prix,Carlos,Sainz,Carlos Sainz,41.0,9
1038,840,3,8,1,2020,Italian Grand Prix,Lance,Stroll,Lance Stroll,57.0,4
1038,846,4,6,0,2020,Italian Grand Prix,Lando,Norris,Lando Norris,57.0,5
1038,822,5,2,0,2020,Italian Grand Prix,Valtteri,Bottas,Valtteri Bottas,117.0,2
1038,817,6,7,0,2020,Italian Grand Prix,Daniel,Ricciardo,Daniel Ricciardo,41.0,10
1038,1,7,1,0,2020,Italian Grand Prix,Lewis,Hamilton,Lewis Hamilton,164.0,1
1038,839,8,12,0,2020,Italian Grand Prix,Esteban,Ocon,Esteban Ocon,30.0,12
1038,826,9,11,0,2020,Italian Grand Prix,Daniil,Kvyat,Daniil Kvyat,4.0,15
1038,815,10,4,0,2020,Italian Grand Prix,Sergio,Pérez,Sergio Pérez,34.0,11
1038,849,11,20,0,2020,Italian Grand Prix,Nicholas,Latifi,Nicholas Latifi,0.0,18
1038,154,12,16,0,2020,Italian Grand Prix,Romain,Grosjean,Romain Grosjean,0.0,20
1038,8,13,14,0,2020,Italian Grand Prix,Kimi,Räikkönen,Kimi Räikkönen,0.0,19
1038,847,14,19,0,2020,Italian Grand Prix,George,Russell,George Russell,0.0,21
1038,848,15,9,0,2020,Italian Grand Prix,Alexander,Albon,Alexander Albon,48.0,6
1038,841,16,18,0,2020,Italian Grand Prix,Antonio,Giovinazzi,Antonio Giovinazzi,2.0,16
1038,830,17,5,0,2020,Italian Grand Prix,Max,Verstappen,Max Verstappen,110.0,3
1038,844,18,13,0,2020,Italian Grand Prix,Charles,Leclerc,Charles Leclerc,45.0,7
1038,825,19,15,0,2020,Italian Grand Prix,Kevin,Magnussen,Kevin Magnussen,1.0,17
1038,20,20,17,0,2020,Italian Grand Prix,Sebastian,Vettel,Sebastian Vettel,16.0,13
1039,1,1,1,1,2020,Tuscan Grand Prix,Lewis,Hamilton,Lewis Hamilton,190.0,1
1039,822,2,2,1,2020,Tuscan Grand Prix,Valtteri,Bottas,Valtteri Bottas,135.0,2
1039,848,3,4,1,2020,Tuscan Grand Prix,Alexander,Albon,Alexander Albon,63.0,5
1039,817,4,8,0,2020,Tuscan Grand Prix,Daniel,Ricciardo,Daniel Ricciardo,53.0,7
1039,815,5,6,0,2020,Tuscan Grand Prix,Sergio,Pérez,Sergio Pérez,44.0,9
1039,846,6,11,0,2020,Tuscan Grand Prix,Lando,Norris,Lando Norris,65.0,4
1039,826,7,12,0,2020,Tuscan Grand Prix,Daniil,Kvyat,Daniil Kvyat,10.0,14
1039,844,8,5,0,2020,Tuscan Grand Prix,Charles,Leclerc,Charles Leclerc,49.0,8
1039,8,9,13,0,2020,Tuscan Grand Prix,Kimi,Räikkönen,Kimi Räikkönen,2.0,16
1039,20,10,14,0,2020,Tuscan Grand Prix,Sebastian,Vettel,Sebastian Vettel,17.0,13
1039,847,11,18,0,2020,Tuscan Grand Prix,George,Russell,George Russell,0.0,20
1039,154,12,15,0,2020,Tuscan Grand Prix,Romain,Grosjean,Romain Grosjean,0.0,21
1039,840,13,7,0,2020,Tuscan Grand Prix,Lance,Stroll,Lance Stroll,57.0,6
1039,839,14,10,0,2020,Tuscan Grand Prix,Esteban,Ocon,Esteban Ocon,30.0,12
1039,849,15,19,0,2020,Tuscan Grand Prix,Nicholas,Latifi,Nicholas Latifi,0.0,19
1039,825,16,20,0,2020,Tuscan Grand Prix,Kevin,Magnussen,Kevin Magnussen,1.0,18
1039,841,17,17,0,2020,Tuscan Grand Prix,Antonio,Giovinazzi,Antonio Giovinazzi,2.0,17
1039,832,18,9,0,2020,Tuscan Grand Prix,Carlos,Sainz,Carlos Sainz,41.0,11
1039,830,19,3,0,2020,Tuscan Grand Prix,Max,Verstappen,Max Verstappen,110.0,3
1039,842,20,16,0,2020,Tuscan Grand Prix,Pierre,Gasly,Pierre Gasly,43.0,10
1040,822,1,3,1,2020,Russian Grand Prix,Valtteri,Bottas,Valtteri Bottas,161.0,2
1040,830,2,2,1,2020,Russian Grand Prix,Max,Verstappen,Max Verstappen,128.0,3
1040,1,3,1,1,2020,Russian Grand Prix,Lewis,Hamilton,Lewis Hamilton,205.0,1
1040,815,4,4,0,2020,Russian Grand Prix,Sergio,Pérez,Sergio Pérez,56.0,9
1040,817,5,5,0,2020,Russian Grand Prix,Daniel,Ricciardo,Daniel Ricciardo,63.0,6
1040,844,6,11,0,2020,Russian Grand Prix,Charles,Leclerc,Charles Leclerc,57.0,7
1040,839,7,7,0,2020,Russian Grand Prix,Esteban,Ocon,Esteban Ocon,36.0,12
1040,826,8,12,0,2020,Russian Grand Prix,Daniil,Kvyat,Daniil Kvyat,14.0,14
1040,842,9,9,0,2020,Russian Grand Prix,Pierre,Gasly,Pierre Gasly,45.0,10
1040,848,10,10,0,2020,Russian Grand Prix,Alexander,Albon,Alexander Albon,64.0,5
1040,841,11,17,0,2020,Russian Grand Prix,Antonio,Giovinazzi,Antonio Giovinazzi,2.0,17
1040,825,12,18,0,2020,Russian Grand Prix,Kevin,Magnussen,Kevin Magnussen,1.0,18
1040,20,13,15,0,2020,Russian Grand Prix,Sebastian,Vettel,Sebastian Vettel,17.0,13
