raceId,driverId,year,qualifying_position,positionOrder,championship_position,podium_finish,starting_grid_diff
1039,840,2020,7,13,6,0,-6
1039,839,2020,10,14,12,0,-4
1039,849,2020,19,15,19,0,4
1039,825,2020,20,16,18,0,4
1039,841,2020,17,17,17,0,0
1039,832,2020,9,18,11,0,-9
1039,830,2020,3,19,3,0,-16
1039,842,2020,16,20,10,0,-4
1040,822,2020,3,1,2,1,2
1040,830,2020,2,2,3,1,0
1040,1,2020,1,3,1,1,-2
1040,815,2020,4,4,9,0,0
1040,817,2020,5,5,6,0,0
1040,844,2020,11,6,7,0,5
1040,839,2020,7,7,12,0,0
1040,826,2020,12,8,14,0,4
1040,842,2020,9,9,10,0,0
1040,848,2020,10,10,5,0,0
1040,841,2020,17,11,17,0,6
1040,825,2020,18,12,18,0,6
1040,20,2020,15,13,13,0,2
1040,8,2020,20,14,16,0,6
1040,846,2020,8,15,4,0,-7
1040,849,2020,19,16,19,0,3
1040,154,2020,16,17,21,0,-1
1040,847,2020,14,18,20,0,-4
1040,832,2020,6,19,11,0,-13
1040,840,2020,13,20,8,0,-7
1041,1,2020,2,1,1,1,1
1041,830,2020,3,2,3,1,1
1041,817,2020,6,3,4,1,3
1041,815,2020,9,4,5,0,5
1041,832,2020,10,5,11,0,5
1041,842,2020,12,6,10,0,6
1041,844,2020,4,7,8,0,-3
1041,807,2020,20,8,15,0,12
1041,154,2020,16,9,18,0,7
1041,841,2020,14,10,16,0,4
1041,20,2020,11,11,13,0,0
1041,8,2020,19,12,17,0,7
1041,825,2020,15,13,19,0,2
1041,849,2020,18,14,20,0,4
1041,826,2020,13,15,14,0,-2
1041,846,2020,8,16,6,0,-8
1041,848,2020,5,17,7,0,-12
1041,839,2020,7,18,12,0,-11
1041,822,2020,1,19,2,0,-18
1041,847,2020,17,20,21,0,-3
1042,1,2020,1,1,1,1,0
1042,822,2020,2,2,2,1,0
1042,830,2020,3,3,3,1,0
1042,844,2020,4,4,5,0,0
1042,842,2020,9,5,9,0,4
1042,832,2020,7,6,10,0,1
1042,815,2020,5,7,6,0,-2
1042,839,2020,11,8,12,0,3
1042,817,2020,10,9,4,0,1
1042,20,2020,15,10,13,0,5
1042,8,2020,16,11,17,0,5
1042,848,2020,6,12,8,0,-6
1042,846,2020,8,13,7,0,-5
1042,847,2020,14,14,21,0,0
1042,841,2020,17,15,16,0,2
1042,825,2020,19,16,19,0,3
1042,154,2020,18,17,18,0,1
1042,849,2020,20,18,20,0,2
1042,826,2020,13,19,14,0,-6
1042,840,2020,12,20,11,0,-8
1043,1,2020,2,1,1,1,1
1043,822,2020,1,2,2,1,-1
1043,817,2020,5,3,4,1,2
1043,826,2020,8,4,13,0,4
1043,844,2020,7,5,5,0,2
1043,815,2020,11,6,6,0,5
1043,832,2020,10,7,8,0,3
1043,846,2020,9,8,7,0,1
1043,8,2020,18,9,16,0,9
1043,841,2020,20,10,17,0,10
1043,849,2020,19,11,20,0,8
1043,20,2020,14,12,14,0,2
1043,840,2020,15,13,11,0,2
1043,154,2020,16,14,18,0,2
1043,848,2020,6,15,9,0,-9
1043,847,2020,13,16,21,0,-3
1043,830,2020,3,17,3,0,-14
1043,825,2020,17,18,19,0,-1
1043,839,2020,12,19,12,0,-7
1043,842,2020,4,20,10,0,-16
1044,1,2020,6,1,1,1,5
1044,815,2020,3,2,4,1,1
1044,20,2020,12,3,13,1,9
1044,844,2020,14,4,5,0,10
1044,832,2020,13,5,7,0,8
1044,830,2020,2,6,3,0,-4
1044,848,2020,4,7,9,0,-3
1044,846,2020,11,8,8,0,3
1044,840,2020,1,9,11,0,-8
1044,817,2020,5,10,6,0,-5
1044,839,2020,7,11,12,0,-4
1044,826,2020,17,12,14,0,5
1044,842,2020,15,13,10,0,2
1044,822,2020,9,14,2,0,-5
1044,8,2020,8,15,16,0,-7
1044,847,2020,18,16,21,0,2
1044,825,2020,16,17,19,0,-1
1044,154,2020,19,18,18,0,1
1044,849,2020,20,19,20,0,1
1044,841,2020,10,20,17,0,-10
1045,1,2020,1,1,1,1,0
1045,830,2020,3,2,3,1,1
1045,848,2020,4,3,9,1,1
1045,846,2020,9,4,7,0,5
1045,832,2020,15,5,8,0,10
1045,842,2020,8,6,10,0,2
1045,817,2020,6,7,4,0,-1
1045,822,2020,2,8,2,0,-6
1045,839,2020,7,9,12,0,-2
1045,844,2020,12,10,6,0,2
1045,826,2020,10,11,14,0,-1
1045,847,2020,14,12,21,0,2
1045,20,2020,11,13,13,0,-2
1045,849,2020,20,14,20,0,6
1045,8,2020,17,15,16,0,2
1045,841,2020,16,16,17,0,0
1045,825,2020,18,17,19,0,1
1045,815,2020,5,18,5,0,-13
1045,840,2020,13,19,11,0,-6
1045,154,2020,19,20,18,0,-1
1046,815,2020,5,1,4,1,4
1046,839,2020,11,2,12,1,9
1046,840,2020,10,3,10,1,7
1046,832,2020,8,4,7,0,4
1046,817,2020,7,5,5,0,2
1046,848,2020,12,6,8,0,6
1046,826,2020,6,7,14,0,-1
1046,822,2020,1,8,2,0,-7
1046,847,2020,2,9,18,0,-7
1046,846,2020,15,10,9,0,5
1046,842,2020,9,11,11,0,-2
1046,20,2020,13,12,13,0,1
1046,841,2020,14,13,17,0,1
1046,8,2020,19,14,16,0,5
1046,825,2020,16,15,20,0,1
1046,851,2020,18,16,22,0,2
1046,850,2020,20,17,23,0,3
