raceId,number,positionOrder,qualifying_position,podium_finish,year,name,forename,surname,driver_name,points,championship_position
1031,4,3,4,1,2020,Austrian Grand Prix,Max,Chilton,Max Chilton,10.0,5
1031,4,3,4,1,2020,Austrian Grand Prix,Max,Chilton,Max Chilton,12.0,4
1031,4,3,4,1,2020,Austrian Grand Prix,Max,Chilton,Max Chilton,16.0,3
1031,4,3,4,1,2020,Austrian Grand Prix,Max,Chilton,Max Chilton,18.0,2
1031,4,3,4,1,2020,Austrian Grand Prix,Max,Chilton,Max Chilton,25.0,1
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,0.0,20
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,0.0,18
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,0.0,16
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,0.0,14
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,0.0,12
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,0.0,19
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,0.0,17
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,0.0,15
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,0.0,13
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,0.0,11
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,1.0,10
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,2.0,9
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,4.0,8
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,6.0,7
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,8.0,6
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,10.0,5
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,12.0,4
1031,4,3,4,1,2020,Austrian Grand Prix,Lando,Norris,Lando Norris,16.0,3
